,Feature Name,Importance,Standard Deviation
544,Frame8_RING_FINGER_MCP_y,0.00017955401587992504,0.001974581321381384
545,Frame8_RING_FINGER_MCP_z,6.880407453857972e-05,0.0011317428065719083
546,Frame8_RING_FINGER_PIP_x,0.00020028904409186355,0.002389300961313724
547,Frame8_RING_FINGER_PIP_y,0.0004257097254795571,0.003701919713898145
548,Frame8_RING_FINGER_PIP_z,0.0004809537257118283,0.005458093799651032
549,Frame8_RING_FINGER_DIP_x,0.00013981521374831723,0.0014865106240191741
550,Frame8_RING_FINGER_DIP_y,0.00033838180426381685,0.0029207022303715936
551,Frame8_RING_FINGER_DIP_z,0.00012188368361440686,0.001713478640983287
552,Frame8_RING_FINGER_TIP_x,2.0277187083875744e-05,0.00040766145678683077
553,Frame8_RING_FINGER_TIP_y,0.00040268625271786684,0.0035018102277252217
554,Frame8_RING_FINGER_TIP_z,5.5399352423707604e-05,0.0006002166145910937
555,Frame8_PINKY_MCP_x,3.15940448885604e-05,0.0006497194148234942
556,Frame8_PINKY_MCP_y,0.00027677559979198723,0.002294825132782482
557,Frame8_PINKY_MCP_z,3.205680459053597e-05,0.0006993082420919846
558,Frame8_PINKY_PIP_x,3.2140933623096246e-05,0.00046909245933931545
559,Frame8_PINKY_PIP_y,0.00036497527159238527,0.003186769115306236
560,Frame8_PINKY_PIP_z,0.00022655325426312566,0.0029254518570735587
561,Frame8_PINKY_DIP_x,0.00022120084423331914,0.0028507689488356633
562,Frame8_PINKY_DIP_y,0.00017736115780472836,0.0018712176240304307
563,Frame8_PINKY_DIP_z,0.00015040103543354104,0.0020250261128140074
564,Frame8_PINKY_TIP_x,0.00027083671166477745,0.002961932049938281
565,Frame8_PINKY_TIP_y,0.00021354068073136005,0.00231591778865275
566,Frame8_PINKY_TIP_z,0.0001428663664145816,0.0016704267786403304
567,Frame9_WRIST_x,0.0002593106765327827,0.0031110281332068076
568,Frame9_WRIST_y,0.0003872254475303406,0.0038950155898250147
569,Frame9_WRIST_z,0.0,0.0
570,Frame9_THUMB_CMC_x,0.0001988691981095297,0.0024565556808220533
571,Frame9_THUMB_CMC_y,0.0007435578530703549,0.005594469615360112
572,Frame9_THUMB_CMC_z,6.428470921339852e-05,0.0011148931551751423
573,Frame9_THUMB_MCP_x,0.0002499956411401764,0.002802315609190541
574,Frame9_THUMB_MCP_y,0.0003044346058636668,0.0029102694139901118
575,Frame9_THUMB_MCP_z,0.00010757457304485904,0.001339796857123659
576,Frame9_THUMB_IP_x,0.0002216209210224508,0.002317007926492345
577,Frame9_THUMB_IP_y,0.0003170173133428457,0.003216254262442275
578,Frame9_THUMB_IP_z,0.00014611603549013645,0.0016537715378533784
579,Frame9_THUMB_TIP_x,0.00031934575902412335,0.003108338851926033
580,Frame9_THUMB_TIP_y,0.0002829952838886193,0.002991629658787008
581,Frame9_THUMB_TIP_z,9.225732543301502e-05,0.0012293745895509084
582,Frame9_INDEX_FINGER_MCP_x,0.00027046419448203013,0.0028597764883474606
583,Frame9_INDEX_FINGER_MCP_y,0.00036693592465141553,0.003293408675433372
584,Frame9_INDEX_FINGER_MCP_z,0.00020754530871245833,0.0016333664348556587
585,Frame9_INDEX_FINGER_PIP_x,0.00031270217676118814,0.00292091254052192
586,Frame9_INDEX_FINGER_PIP_y,0.0004097561154961222,0.0037400504695096516
587,Frame9_INDEX_FINGER_PIP_z,7.203907221832483e-05,0.0009235220234545707
588,Frame9_INDEX_FINGER_DIP_x,0.0003600523937045005,0.0030072172578762837
589,Frame9_INDEX_FINGER_DIP_y,0.0005041140817035593,0.004161835559883664
590,Frame9_INDEX_FINGER_DIP_z,8.72260034885389e-05,0.0010593135521996598
591,Frame9_INDEX_FINGER_TIP_x,0.00022831703361335742,0.0022178769137372713
592,Frame9_INDEX_FINGER_TIP_y,0.0005295298519315099,0.003921297444421482
593,Frame9_INDEX_FINGER_TIP_z,0.00010800923592943261,0.001312587521837131
594,Frame9_MIDDLE_FINGER_MCP_x,5.710839408874172e-05,0.0008501263854126426
595,Frame9_MIDDLE_FINGER_MCP_y,0.00036556677429437683,0.003293386573294641
596,Frame9_MIDDLE_FINGER_MCP_z,0.00012161088696562268,0.0013388185292370091
597,Frame9_MIDDLE_FINGER_PIP_x,0.000402953872014765,0.0037824169688226673
598,Frame9_MIDDLE_FINGER_PIP_y,0.00041892509827974296,0.0038941030945670104
599,Frame9_MIDDLE_FINGER_PIP_z,9.009714846900582e-05,0.0012410087996868777
600,Frame9_MIDDLE_FINGER_DIP_x,0.00021664513169396605,0.002625655912331845
601,Frame9_MIDDLE_FINGER_DIP_y,0.00043202633683398135,0.004043259813059753
602,Frame9_MIDDLE_FINGER_DIP_z,8.264224404112002e-05,0.0010983069521500672
603,Frame9_MIDDLE_FINGER_TIP_x,0.00030366227072702625,0.0026797544633933106
604,Frame9_MIDDLE_FINGER_TIP_y,0.00045568896425853266,0.003827849905334353
605,Frame9_MIDDLE_FINGER_TIP_z,8.922039175293696e-05,0.0010532782742130155
606,Frame9_RING_FINGER_MCP_x,0.0001728472329297654,0.001981274835397719
607,Frame9_RING_FINGER_MCP_y,0.0002791663973398425,0.002444218606381525
608,Frame9_RING_FINGER_MCP_z,9.805271373727425e-05,0.0010636952510880663
609,Frame9_RING_FINGER_PIP_x,0.00022628306600385839,0.0028302845075278246
610,Frame9_RING_FINGER_PIP_y,0.0002601526316337436,0.0024165978245668765
611,Frame9_RING_FINGER_PIP_z,0.0001715540248578389,0.002806872785999707
612,Frame9_RING_FINGER_DIP_x,0.00039446478216924476,0.0038585800721881603
613,Frame9_RING_FINGER_DIP_y,0.0001612569226588972,0.0017693006620034851
614,Frame9_RING_FINGER_DIP_z,0.0001751316928121945,0.001500832262984002
615,Frame9_RING_FINGER_TIP_x,0.0003791305303772544,0.003965522537469449
